bank_txn_ref,posting_date,value_date,amount,currency,debit_credit,narration,bank_branch,source_system,fees_deducted
BK-9118ce1f6c,2024-01-07,2024-01-07,20269.34,KES,CR,MPESA 23503,BBR10,MPESA,47.17
BK-ea9f6e80eb,2024-03-06,2024-03-06,16673.68,KES,CR,Mobile payment MBR 29338,BBR08,MPESA,134.1
BK-eb6e9d7740,2024-03-04,2024-03-04,42938.21,KES,CR,CHQ dep MBR 29456,BBR04,CHEQUE,307.13
BK-662a6f1cda,2024-02-21,2024-02-21,32195.57,KES,CR,Mobile payment MBR 23190,BBR10,MPESA,161.71
BK-640918da3e,2024-02-19,2024-02-19,47563.5,KES,CR,Mobile payment MBR 28551,BBR01,MPESA,278.96
BK-dd4e6bbcf5,2024-02-20,2024-02-20,33179.53,KES,CR,CHQ dep MBR 26185,BBR03,CHEQUE,242.55
BK-ad4f840570,2024-03-15,2024-03-15,39149.79,KES,CR,M-PESA PAY 27978,BBR03,MPESA,73.11
BK-5487ac94c4,2024-01-26,2024-01-26,21368.33,KES,CR,CASH DEP 25668,BBR08,CASH,123.53
BK-bb023f1e4a,2024-02-29,2024-02-29,21084.34,KES,CR,CASH DEP 23762,BBR03,CASH,118.76
BK-845b780338,2024-01-30,2024-01-30,36727.52,KES,CR,CHQ DEP MBR 23263,BBR09,CHEQUE,172.59
BK-e7a013d58b,2024-02-17,2024-02-17,6165.19,KES,CR,CASH DEP 20490,BBR11,CASH,40.76
BK-44a87be5bd,2024-03-13,2024-03-13,16676.57,KES,CR,MPESA 21016,BBR12,MPESA,133.95
BK-b1f3fd33d3,2024-03-05,2024-03-05,3839.78,KES,CR,MPESA 28970,BBR11,MPESA,4.66
BK-cc941ada69,2024-02-06,2024-02-06,42277.46,KES,CR,Cash DEP acc 23833,BBR07,CASH,83.56
BK-7384a9415f,2024-02-11,2024-02-11,37155.79,KES,CR,CHQ DEP for MBR 29221,BBR14,CHEQUE,45.14
BK-fa51491109,2024-02-10,2024-02-10,15074.78,KES,CR,CASH DEP 26406,BBR01,CASH,26.65
BK-76952a8afa,2024-01-04,2024-01-04,40573.62,KES,CR,CHQ dep MBR 23408,BBR15,CHEQUE,258.35
BK-255ab83fa2,2024-02-09,2024-02-09,38299.31,KES,CR,MPESA 23523,BBR11,MPESA,166.08
BK-9dd624b9fb,2024-02-29,2024-02-29,17211.36,KES,CR,M-PESA PAY 22458,BBR15,MPESA,58.04
BK-fd96b0029c,2024-01-10,2024-01-10,5706.06,KES,CR,MPESA 27454,BBR07,MPESA,15.42
BK-f84e5c9ff8,2024-01-15,2024-01-15,13392.37,KES,CR,MPESA 25860,BBR08,MPESA,76.13
BK-78aac6a5c3,2024-01-07,2024-01-07,728.94,KES,CR,CHQ dep MBR 28669,BBR07,CHEQUE,1.78
BK-7a2db82c40,2024-01-24,2024-01-24,29175.15,KES,CR,CHQ DEP MBR 29520,BBR08,CHEQUE,58.99
BK-037def0840,2024-02-02,2024-02-02,33894.93,KES,CR,CHQ dep MBR 20960,BBR14,CHEQUE,204.18
BK-f5206cfa62,2024-01-05,2024-01-05,27799.57,KES,CR,Mobile payment MBR 26213,BBR03,MPESA,59.15
BK-9edeb648c1,2024-03-25,2024-03-25,21342.33,KES,CR,CHQ DEP for MBR 23069,BBR05,CHEQUE,143.82
BK-bd8e8e7307,2024-01-21,2024-01-21,13845.35,KES,CR,Cash DEP acc 24992,BBR02,CASH,52.42
BK-ea277eca04,2024-02-16,2024-02-16,20252.42,KES,CR,CHQ dep MBR 27038,BBR05,CHEQUE,158.41
BK-91b86308ef,2024-01-04,2024-01-04,9926.19,KES,CR,Mobile payment MBR 23063,BBR09,MPESA,61.58
BK-4ddf14dc00,2024-02-27,2024-02-27,44259.82,KES,CR,Mobile payment MBR 26879,BBR11,MPESA,281.0
BK-1e1c8c54e7,2024-02-27,2024-02-27,22975.42,KES,CR,CHQ DEP for MBR 25514,BBR02,CHEQUE,120.52
BK-485301c04b,2024-01-15,2024-01-15,9775.12,KES,CR,Mobile payment MBR 25307,BBR10,MPESA,45.74
BK-a794224b68,2024-03-09,2024-03-09,37099.31,KES,CR,M-PESA PAY 21060,BBR05,MPESA,275.29
BK-a6ce5f502b,2024-03-17,2024-03-17,38944.03,KES,CR,CHQ DEP for MBR 21795,BBR03,CHEQUE,129.09
BK-001e356daf,2024-03-08,2024-03-08,24379.66,KES,CR,CHQ DEP for MBR 29828,BBR11,CHEQUE,157.15
BK-584e5a5403,2024-01-18,2024-01-18,2754.81,KES,CR,Cash DEP acc 27720,BBR01,CASH,12.37
BK-0b0aa971ca,2024-03-02,2024-03-02,3916.91,KES,CR,CHQ dep MBR 22163,BBR02,CHEQUE,10.84
BK-4a6aff6865,2024-02-10,2024-02-10,952.72,KES,CR,MPESA 21746,BBR04,MPESA,2.11
BK-3221bd1d82,2024-03-23,2024-03-23,31673.99,KES,CR,Cash DEP acc 22238,BBR13,CASH,220.81
BK-eedb254ec9,2024-02-18,2024-02-18,13088.92,KES,CR,CHQ DEP MBR 22302,BBR05,CHEQUE,64.85
BK-a9c220ad7a,2024-01-30,2024-01-30,28273.15,KES,CR,CHQ DEP for MBR 26272,BBR15,CHEQUE,41.93
BK-0fe8935266,2024-03-15,2024-03-15,28566.71,KES,CR,CHQ dep MBR 24450,BBR11,CHEQUE,127.27
BK-044452c999,2024-01-24,2024-01-24,32264.51,KES,CR,CASH DEP 21263,BBR09,CASH,87.6
BK-c4ba2b97c4,2024-03-28,2024-03-28,30572.27,KES,CR,CHQ dep MBR 20794,BBR02,CHEQUE,176.64
BK-6a6739c1a2,2024-02-24,2024-02-24,44007.01,KES,CR,MPESA 26897,BBR11,MPESA,339.6
BK-e7d351320d,2024-02-20,2024-02-20,21365.04,KES,CR,MPESA 23013,BBR10,MPESA,120.13
BK-342344e00f,2024-03-31,2024-03-31,28765.27,KES,CR,CASH DEP 27532,BBR07,CASH,192.2
BK-1ea1ccdb72,2024-03-10,2024-03-10,44202.11,KES,CR,M-PESA PAY 22726,BBR07,MPESA,184.35
BK-2bcad1e949,2024-03-04,2024-03-04,19050.03,KES,CR,CHQ DEP MBR 26759,BBR11,CHEQUE,38.82
BK-1bf32d5e7e,2024-01-20,2024-01-20,22339.59,KES,CR,CHQ DEP for MBR 29456,BBR01,CHEQUE,33.66
BK-f67155ed8c,2024-02-15,2024-02-15,2970.46,KES,CR,Cash DEP acc 22648,BBR02,CASH,3.79
BK-f191addf2a,2024-02-27,2024-02-27,7512.77,KES,CR,CASH DEP 25833,BBR05,CASH,58.45
BK-1207682727,2024-02-19,2024-02-19,32163.55,KES,CR,CHQ dep MBR 21799,BBR08,CHEQUE,116.99
BK-fc56834f80,2024-01-26,2024-01-26,28611.82,KES,CR,CHQ DEP MBR 22885,BBR08,CHEQUE,86.25
BK-9e22de1d10,2024-03-01,2024-03-01,25906.01,KES,CR,CHQ DEP MBR 20515,BBR15,CHEQUE,186.97
BK-b34dc27d0d,2024-02-04,2024-02-04,22973.64,KES,CR,CHQ DEP MBR 27764,BBR08,CHEQUE,135.58
BK-1497bfbe62,2024-02-08,2024-02-08,38636.83,KES,CR,CHQ DEP MBR 23447,BBR05,CHEQUE,170.19
BK-c6c084b8ef,2024-02-18,2024-02-18,1936.07,KES,CR,CHQ DEP MBR 24060,BBR15,CHEQUE,5.9
BK-bb2e2f1405,2024-02-12,2024-02-12,48491.06,KES,CR,CHQ DEP for MBR 21110,BBR13,CHEQUE,320.83
BK-191cca9415,2024-01-22,2024-01-22,48780.94,KES,CR,CHQ DEP for MBR 29409,BBR04,CHEQUE,259.3
BK-26f9d0c8d9,2024-03-26,2024-03-26,5097.52,KES,CR,CHQ DEP MBR 21244,BBR04,CHEQUE,23.98
BK-ee3355d1c7,2024-02-12,2024-02-12,17972.15,KES,CR,MPESA 27040,BBR04,MPESA,130.94
BK-1974592228,2024-01-14,2024-01-14,28980.38,KES,CR,CHQ dep MBR 23216,BBR01,CHEQUE,58.8
BK-4813989f41,2024-02-11,2024-02-11,31762.0,KES,CR,MPESA 23748,BBR07,MPESA,201.94
BK-7d3ff70d8a,2024-01-09,2024-01-09,33412.85,KES,CR,Cash DEP acc 27856,BBR13,CASH,252.03
BK-ff39c1ba62,2024-03-09,2024-03-09,29632.23,KES,CR,CHQ DEP MBR 26457,BBR08,CHEQUE,176.5
BK-48e5f1417e,2024-02-21,2024-02-21,46073.36,KES,CR,CHQ DEP for MBR 20829,BBR07,CHEQUE,171.16
BK-3f2965caa9,2024-02-24,2024-02-24,49745.61,KES,CR,Mobile payment MBR 25436,BBR09,MPESA,92.46
BK-300f038269,2024-02-26,2024-02-26,586.83,KES,CR,Cash DEP acc 21705,BBR13,CASH,3.9
BK-caab993097,2024-03-15,2024-03-15,22251.51,KES,CR,CASH DEP 29340,BBR12,CASH,49.34
BK-14e1de02c2,2024-01-17,2024-01-17,26707.08,KES,CR,CHQ DEP MBR 27769,BBR07,CHEQUE,204.02
BK-0e42b628a3,2024-01-18,2024-01-18,38130.2,KES,CR,CHQ dep MBR 21663,BBR10,CHEQUE,137.23
BK-37d059a74f,2024-03-17,2024-03-17,31342.94,KES,CR,CASH DEP 25329,BBR04,CASH,236.74
BK-ebceed51aa,2024-01-25,2024-01-25,1811.95,KES,CR,M-PESA PAY 26857,BBR09,MPESA,13.86
BK-c9e54b87da,2024-01-16,2024-01-16,47312.63,KES,CR,CHQ DEP for MBR 26967,BBR03,CHEQUE,141.11
BK-3c8c5d37d1,2024-03-10,2024-03-10,47770.5,KES,CR,CHQ DEP for MBR 20861,BBR05,CHEQUE,116.22
BK-4e588c530e,2024-01-16,2024-01-16,17086.09,KES,CR,Cash DEP acc 25139,BBR14,CASH,88.11
BK-8e753e3f4f,2024-02-21,2024-02-21,3856.02,KES,CR,Mobile payment MBR 20985,BBR03,MPESA,25.58
BK-6589d28ada,2024-01-29,2024-01-29,44517.1,KES,CR,M-PESA PAY 27704,BBR10,MPESA,281.54
BK-2809b3b4e5,2024-01-07,2024-01-07,44566.47,KES,CR,Cash DEP acc 29015,BBR15,CASH,172.91
BK-b90a8df53b,2024-03-05,2024-03-05,45292.08,KES,CR,Mobile payment MBR 24539,BBR09,MPESA,126.39
BK-bab9303d4b,2024-01-23,2024-01-23,12476.51,KES,CR,Mobile payment MBR 29990,BBR02,MPESA,13.05
BK-16bf6e50df,2024-01-04,2024-01-04,12428.63,KES,CR,Cash DEP acc 29777,BBR05,CASH,86.72
BK-920ff397e2,2024-02-15,2024-02-15,5521.83,KES,CR,CHQ DEP for MBR 23370,BBR15,CHEQUE,31.04
BK-8bbb8aa7cd,2024-01-07,2024-01-07,13187.02,KES,CR,MPESA 21857,BBR10,MPESA,14.21
BK-df98da1b6a,2024-03-18,2024-03-18,20205.51,KES,CR,Mobile payment MBR 28375,BBR08,MPESA,110.89
BK-3ab1d9601f,2024-01-28,2024-01-28,48609.89,KES,CR,M-PESA PAY 22144,BBR08,MPESA,237.34
BK-6cf8f94ead,2024-02-19,2024-02-19,31467.38,KES,CR,Cash DEP acc 24327,BBR07,CASH,173.84
BK-7a06cbd153,2024-01-19,2024-01-19,47086.23,KES,CR,CHQ DEP for MBR 28174,BBR01,CHEQUE,292.64
BK-51efbe5119,2024-01-20,2024-01-20,19628.27,KES,CR,Mobile payment MBR 28841,BBR06,MPESA,46.48
BK-166b2c4fab,2024-02-29,2024-02-29,20801.31,KES,CR,CHQ DEP MBR 26793,BBR01,CHEQUE,142.92
BK-a1fba577a2,2024-03-06,2024-03-06,15854.09,KES,CR,MPESA 22986,BBR09,MPESA,27.5
BK-6653ef4a4d,2024-01-16,2024-01-16,30921.59,KES,CR,Mobile payment MBR 22862,BBR06,MPESA,119.75
BK-37cbcb14fb,2024-03-03,2024-03-03,42955.25,KES,CR,CHQ dep MBR 22696,BBR03,CHEQUE,299.55
BK-70f6c1a636,2024-01-19,2024-01-19,8445.74,KES,CR,Cash DEP acc 26775,BBR03,CASH,26.46
BK-cfc4317207,2024-02-17,2024-02-17,15507.15,KES,CR,CASH DEP 24338,BBR05,CASH,37.49
BK-ba5534c6a7,2024-01-27,2024-01-27,14102.48,KES,CR,CHQ DEP MBR 28615,BBR13,CHEQUE,81.79
BK-9eceeeb6b7,2024-01-23,2024-01-23,31240.8,KES,CR,CHQ DEP MBR 28105,BBR01,CHEQUE,41.38
BK-a180c36a67,2024-02-10,2024-02-10,31799.58,KES,CR,CHQ DEP for MBR 28328,BBR08,CHEQUE,120.07
BK-e0a7fdb7a2,2024-02-16,2024-02-16,47115.51,KES,CR,Cash DEP acc 20482,BBR13,CASH,365.75
BK-c4a242463a,2024-01-30,2024-01-30,12105.2,KES,CR,CHQ DEP for MBR 22385,BBR02,CHEQUE,41.83
BK-9fef262b51,2024-01-27,2024-01-27,44876.8,KES,CR,CASH DEP 23139,BBR13,CASH,139.37
BK-30972e8dd0,2024-03-07,2024-03-07,9883.81,KES,CR,CHQ DEP MBR 22567,BBR08,CHEQUE,58.18
BK-147bebb83d,2024-01-10,2024-01-10,20224.26,KES,CR,Cash DEP acc 26361,BBR07,CASH,139.34
BK-dee0565c51,2024-02-22,2024-02-22,36392.0,KES,CR,CHQ DEP MBR 20725,BBR12,CHEQUE,95.71
BK-e57dee5cae,2024-03-20,2024-03-20,8495.92,KES,CR,MPESA 25585,BBR04,MPESA,32.88
BK-319cfc0f44,2024-03-06,2024-03-06,15244.54,KES,CR,CHQ dep MBR 23030,BBR07,CHEQUE,74.25
BK-aa61722e03,2024-01-01,2024-01-01,16102.49,KES,CR,CHQ DEP MBR 27087,BBR01,CHEQUE,36.68
BK-f962977e2c,2024-01-13,2024-01-13,44186.04,KES,CR,CHQ DEP MBR 29831,BBR10,CHEQUE,343.38
BK-f37e9632ce,2024-02-01,2024-02-01,14354.62,KES,CR,MPESA 25875,BBR07,MPESA,64.59
BK-ceecd16503,2024-02-22,2024-02-22,38267.45,KES,CR,CHQ DEP for MBR 23219,BBR11,CHEQUE,267.34
BK-44a7698f3e,2024-01-21,2024-01-21,1072.84,KES,CR,CHQ dep MBR 22056,BBR10,CHEQUE,1.5
BK-93b8a5cd06,2024-01-20,2024-01-20,23707.12,KES,CR,Cash DEP acc 25411,BBR01,CASH,176.87
BK-4908b89e2b,2024-01-17,2024-01-17,36487.19,KES,CR,MPESA 26483,BBR15,MPESA,239.41
BK-b06d53b7f4,2024-02-11,2024-02-11,4710.18,KES,CR,MPESA 26537,BBR02,MPESA,16.27
BK-36c555a734,2024-02-29,2024-02-29,7427.06,KES,CR,Mobile payment MBR 28786,BBR11,MPESA,11.96
BK-7eb6f21417,2024-02-12,2024-02-12,29503.36,KES,CR,CASH DEP 25562,BBR13,CASH,118.54
BK-6d98ff863f,2024-02-26,2024-02-26,37423.66,KES,CR,CASH DEP 29830,BBR03,CASH,199.96
BK-88cce0eb99,2024-03-09,2024-03-09,18961.22,KES,CR,CASH DEP 24428,BBR02,CASH,108.31
BK-a9017dd201,2024-03-30,2024-03-30,40786.52,KES,CR,CASH DEP 27389,BBR05,CASH,157.09
BK-ad7ede7d43,2024-03-28,2024-03-28,40117.46,KES,CR,M-PESA PAY 20376,BBR05,MPESA,258.59
BK-3192451e13,2024-03-01,2024-03-01,28550.06,KES,CR,CASH DEP 21854,BBR15,CASH,125.29
BK-80933ff58f,2024-03-20,2024-03-20,38992.18,KES,CR,CHQ DEP MBR 26991,BBR09,CHEQUE,287.08
BK-215dca5880,2024-01-25,2024-01-25,43040.5,KES,CR,Mobile payment MBR 29663,BBR13,MPESA,219.83
BK-e7de55a591,2024-03-09,2024-03-09,47498.18,KES,CR,MPESA 28424,BBR08,MPESA,97.89
BK-91395b9edd,2024-01-18,2024-01-18,30322.63,KES,CR,CASH DEP 22749,BBR03,CASH,236.12
BK-aad7d17fff,2024-03-27,2024-03-27,40925.32,KES,CR,CASH DEP 25517,BBR11,CASH,98.96
BK-8463941cbc,2024-03-25,2024-03-25,45568.68,KES,CR,CHQ DEP for MBR 26729,BBR02,CHEQUE,130.22
BK-bb630bb9df,2024-01-28,2024-01-28,33880.01,KES,CR,Cash DEP acc 25618,BBR01,CASH,109.39
BK-691b895b7a,2024-03-18,2024-03-18,18180.9,KES,CR,MPESA 24430,BBR10,MPESA,106.52
BK-b52d1a5157,2024-01-11,2024-01-11,21540.04,KES,CR,M-PESA PAY 21211,BBR14,MPESA,101.0
BK-08fd173994,2024-03-07,2024-03-07,7768.43,KES,CR,CHQ dep MBR 29760,BBR14,CHEQUE,12.21
BK-6f6047db59,2024-02-23,2024-02-23,32515.63,KES,CR,CHQ DEP for MBR 24767,BBR14,CHEQUE,72.88
BK-322fb4f194,2024-03-21,2024-03-21,13697.4,KES,CR,CHQ DEP for MBR 26841,BBR10,CHEQUE,20.82
BK-58919d8e86,2024-03-19,2024-03-19,9900.72,KES,CR,CHQ dep MBR 28012,BBR08,CHEQUE,36.71
BK-ef0e9b0192,2024-03-24,2024-03-24,30625.67,KES,CR,CHQ DEP for MBR 29035,BBR09,CHEQUE,219.77
BK-d354596015,2024-03-18,2024-03-18,22177.84,KES,CR,CHQ DEP MBR 22616,BBR04,CHEQUE,49.44
BK-46b6a11c77,2024-03-14,2024-03-14,8347.46,KES,CR,Cash DEP acc 27816,BBR11,CASH,63.28
BK-cb32255b60,2024-03-14,2024-03-14,10751.24,KES,CR,Cash DEP acc 21424,BBR08,CASH,81.16
BK-61b2567ca7,2024-03-04,2024-03-04,39506.46,KES,CR,CHQ DEP MBR 23350,BBR06,CHEQUE,73.39
BK-a6b22c9f4e,2024-03-10,2024-03-10,16785.09,KES,CR,CASH DEP 28977,BBR05,CASH,79.6
BK-71b5f6cc5c,2024-03-26,2024-03-26,49640.34,KES,CR,Mobile payment MBR 22597,BBR09,MPESA,318.62
BK-f10c12ecb3,2024-02-18,2024-02-18,3053.69,KES,CR,CASH DEP 26997,BBR09,CASH,3.26
BK-1577b27651,2024-02-04,2024-02-04,12941.75,KES,CR,CHQ dep MBR 27475,BBR01,CHEQUE,19.76
BK-9083e716fd,2024-01-06,2024-01-06,2055.01,KES,CR,M-PESA PAY 23005,BBR02,MPESA,14.35
BK-2bb4a635d2,2024-03-25,2024-03-25,4949.73,KES,CR,M-PESA PAY 23308,BBR11,MPESA,14.16
BK-7173d9fe73,2024-01-26,2024-01-26,18694.32,KES,CR,M-PESA PAY 22644,BBR07,MPESA,74.36
BK-1ed79ed331,2024-02-23,2024-02-23,30476.02,KES,CR,CHQ DEP MBR 23762,BBR12,CHEQUE,142.68
BK-5a8bd7f435,2024-03-28,2024-03-28,12977.44,KES,CR,MPESA 20770,BBR07,MPESA,69.11
BK-ec307afa58,2024-03-03,2024-03-03,16469.63,KES,CR,Mobile payment MBR 22866,BBR04,MPESA,50.01
BK-f2448c0d8e,2024-04-01,2024-04-01,11260.47,KES,CR,Cash DEP acc 21140,BBR08,CASH,52.24
BK-7439a25c20,2024-03-22,2024-03-22,24960.01,KES,CR,Mobile payment MBR 26401,BBR01,MPESA,60.76
BK-777f5af8c2,2024-01-14,2024-01-14,35595.0,KES,CR,Cash DEP acc 23008,BBR14,CASH,242.23
BK-beb794a9d3,2024-01-10,2024-01-10,16253.99,KES,CR,CHQ DEP for MBR 25910,BBR01,CHEQUE,66.35
BK-94a9721977,2024-01-02,2024-01-02,17239.23,KES,CR,CASH DEP 26103,BBR08,CASH,27.69
BK-5bbdc5daf4,2024-01-08,2024-01-08,32091.05,KES,CR,CHQ dep MBR 28967,BBR11,CHEQUE,135.51
BK-bf7cca7a9f,2024-03-12,2024-03-12,6352.74,KES,CR,CHQ DEP MBR 23731,BBR10,CHEQUE,17.36
BK-18aca4ea4e,2024-01-23,2024-01-23,22924.06,KES,CR,Cash DEP acc 25714,BBR05,CASH,65.43
BK-04970344ed,2024-02-19,2024-02-19,39927.87,KES,CR,Mobile payment MBR 23402,BBR08,MPESA,65.33
BK-10efa7019f,2024-02-06,2024-02-06,38807.72,KES,CR,M-PESA PAY 23115,BBR14,MPESA,169.9
BK-79c9e56465,2024-01-07,2024-01-07,22249.25,KES,CR,CHQ DEP for MBR 20882,BBR13,CHEQUE,49.68
BK-82f03d6f9f,2024-02-17,2024-02-17,47785.89,KES,CR,CASH DEP 21642,BBR10,CASH,66.98
BK-67fcf4d529,2024-01-24,2024-01-24,32740.96,KES,CR,CHQ DEP MBR 28835,BBR15,CHEQUE,108.98
BK-44681a5094,2024-03-18,2024-03-18,5945.91,KES,CR,CHQ dep MBR 29988,BBR01,CHEQUE,8.95
BK-b4f9de21dd,2024-02-06,2024-02-06,47798.93,KES,CR,CASH DEP 24957,BBR06,CASH,381.09
BK-a43a378637,2024-01-28,2024-01-28,9518.63,KES,CR,CHQ DEP MBR 27038,BBR12,CHEQUE,30.42
BK-a2b2817ab4,2024-03-19,2024-03-19,16493.18,KES,CR,M-PESA PAY 23677,BBR12,MPESA,74.39
BK-155d769a5f,2024-02-18,2024-02-18,16232.29,KES,CR,CHQ dep MBR 26730,BBR08,CHEQUE,17.44
BK-27f6c77242,2024-01-18,2024-01-18,4763.35,KES,CR,CHQ dep MBR 27248,BBR08,CHEQUE,27.71
BK-89c94c6102,2024-02-29,2024-02-29,41561.57,KES,CR,CHQ DEP for MBR 29393,BBR02,CHEQUE,282.02
BK-902f59c1a9,2024-01-09,2024-01-09,10249.96,KES,CR,CHQ DEP for MBR 28556,BBR09,CHEQUE,67.19
BK-1800e5691a,2024-02-26,2024-02-26,26998.86,KES,CR,MPESA 25688,BBR08,MPESA,214.71
BK-55b6c365d0,2024-01-13,2024-01-13,10070.2,KES,CR,Cash DEP acc 21258,BBR02,CASH,23.63
BK-8194ae97a6,2024-01-08,2024-01-08,39092.45,KES,CR,M-PESA PAY 27111,BBR09,MPESA,146.88
BK-d577d4efd1,2024-01-27,2024-01-27,5791.49,KES,CR,CHQ DEP for MBR 29763,BBR02,CHEQUE,8.8
