payment_ref,payment_timestamp,value_date,amount,currency,payment_channel,customer_id,narration,payment_status,entered_by,branch_code,expected_fee
PS-35b13c870a,2024-01-01,2024-02-03,15028.26,KES,CHEQUE,25573,Cheque dep member 25573,SUCCESS,TELLER,BR17,139.78
PS-d896baeb26,2024-02-17,2024-01-21,25629.31,KES,CASH,24889,Cash deposit acc 24889,SUCCESS,BATCH,BR11,151.44
PS-2610dcde5c,2024-02-09,2024-01-31,43996.73,KES,MPESA,21832,Mobile payment member 21832,SUCCESS,TELLER,BR19,421.29
PS-98538fd58b,2024-03-09,2024-01-17,24556.53,KES,CASH,21403,Cash deposit acc 21403,SUCCESS,BATCH,BR16,235.12
PS-d6d1d1f48a,2024-01-28,2024-03-10,26619.85,KES,MPESA,22705,M-PESA PAY 22705,SUCCESS,BATCH,BR07,205.07
PS-da984c8189,2024-03-07,2024-02-27,32668.96,KES,CASH,26537,Cash deposit acc 26537,SUCCESS,TELLER,BR08,82.07
PS-877ecf01bb,2024-01-01,2024-01-10,27919.12,KES,CASH,20344,Cash deposit acc 20344,SUCCESS,TELLER,BR03,258.07
PS-70053bd2ae,2024-03-03,2024-01-28,25950.73,KES,CHEQUE,25413,Cheque dep member 25413,SUCCESS,TELLER,BR19,171.53
PS-93374d397c,2024-01-13,2024-03-25,40471.1,KES,MPESA,23981,MPESA 23981,SUCCESS,SYSTEM,BR14,214.04
PS-d600edf300,2024-01-08,2024-02-21,32846.05,KES,CASH,20887,CASH DEP 20887,SUCCESS,TELLER,BR08,116.04
PS-6724eeeb59,2024-02-29,2024-02-01,7439.02,KES,MPESA,28786,Mobile payment member 28786,SUCCESS,SYSTEM,BR18,20.7
PS-e20c52ea62,2024-01-31,2024-01-22,48465.31,KES,CHEQUE,28856,CHQ DEP MBR 28856,FAILED,SYSTEM,BR16,179.81
PS-c092ee5265,2024-02-19,2024-02-03,8649.54,KES,CHEQUE,26570,CHQ DEP MBR 26570,SUCCESS,SYSTEM,BR14,65.5
PS-1c46586752,2024-02-07,2024-01-28,36061.21,KES,CASH,29105,Cash deposit acc 29105,SUCCESS,BATCH,BR18,89.71
PS-949f3b97f1,2024-03-08,2024-01-21,2982.05,KES,CHEQUE,25138,Cheque deposit for member 25138,SUCCESS,BATCH,BR03,26.27
PS-ea509bda63,2024-02-21,2024-01-16,3864.06,KES,CASH,21122,Cash deposit acc 21122,SUCCESS,BATCH,BR20,8.96
PS-c50acb2d6e,2024-02-10,2024-02-03,33039.97,KES,MPESA,21343,Mobile payment member 21343,SUCCESS,BATCH,BR11,129.17
PS-246cdf3c5d,2024-02-10,2024-01-10,33748.67,KES,CHEQUE,26484,Cheque deposit for member 26484,SUCCESS,SYSTEM,BR20,337.07
PS-54fd15f79a,2024-01-17,2024-02-14,27112.9,KES,CHEQUE,21638,Cheque deposit for member 21638,SUCCESS,TELLER,BR12,116.04
PS-c2e0e87971,2024-03-24,2024-03-08,35325.23,KES,CASH,27179,Cash deposit acc 27179,SUCCESS,BATCH,BR18,155.26
PS-ee62dfd69a,2024-03-11,2024-01-20,13591.06,KES,CHEQUE,21697,CHQ DEP MBR 21697,SUCCESS,SYSTEM,BR20,50.08
PS-649d02443c,2024-03-05,2024-03-03,34531.11,KES,CHEQUE,25617,CHQ DEP MBR 25617,SUCCESS,TELLER,BR03,244.28
PS-116777381a,2024-03-22,2024-02-03,675.51,KES,CHEQUE,24533,Cheque deposit for member 24533,SUCCESS,BATCH,BR15,4.33
PS-983822b5bb,2024-03-29,2024-01-20,978.65,KES,CASH,27007,Cash deposit acc 27007,SUCCESS,SYSTEM,BR19,6.28
PS-b1b3363aa3,2024-01-06,2024-02-15,2570.53,KES,CHEQUE,27041,Cheque deposit for member 27041,SUCCESS,BATCH,BR08,18.86
PS-31fa6d8d33,2024-03-20,2024-01-20,44264.67,KES,CASH,25794,Cash deposit acc 25794,SUCCESS,TELLER,BR06,400.65
PS-a4c5e0fcff,2024-02-22,2024-03-26,36959.94,KES,CHEQUE,20406,Cheque dep member 20406,SUCCESS,TELLER,BR09,120.99
PS-3d4e134b6e,2024-01-29,2024-01-26,43672.26,KES,MPESA,21771,MPESA 21771,SUCCESS,SYSTEM,BR10,374.02
PS-1651831242,2024-02-12,2024-02-05,1671.39,KES,CHEQUE,23728,Cheque deposit for member 23728,SUCCESS,SYSTEM,BR12,11.92
PS-b68f3ebf50,2024-01-04,2024-01-15,49066.91,KES,CASH,26548,CASH DEP 26548,SUCCESS,TELLER,BR19,475.96
PS-c783cb338e,2024-02-10,2024-02-25,5865.93,KES,CHEQUE,24349,Cheque dep member 24349,SUCCESS,BATCH,BR04,29.81
PS-95ae19e8ff,2024-01-01,2024-03-07,13108.76,KES,CHEQUE,29446,Cheque dep member 29446,SUCCESS,BATCH,BR07,64.41
PS-e9bb971032,2024-03-25,2024-01-16,46078.16,KES,CASH,21146,CASH DEP 21146,SUCCESS,BATCH,BR10,337.99
PS-c475a94ede,2024-01-25,2024-02-23,35011.82,KES,MPESA,25344,M-PESA PAY 25344,SUCCESS,SYSTEM,BR06,242.43
PS-b86425ee42,2024-02-06,2024-01-27,27622.89,KES,MPESA,24930,MPESA 24930,SUCCESS,BATCH,BR20,199.92
PS-2c51ff6375,2024-03-01,2024-01-22,22386.91,KES,MPESA,27618,M-PESA PAY 27618,SUCCESS,TELLER,BR10,137.09
PS-48f9f0888d,2024-03-27,2024-02-09,41011.96,KES,CHEQUE,25491,Cheque deposit for member 25491,SUCCESS,TELLER,BR05,90.04
PS-5e6f4e20d3,2024-02-28,2024-02-23,30758.06,KES,MPESA,24011,M-PESA PAY 24011,SUCCESS,BATCH,BR07,238.28
PS-db3ea452d2,2024-03-29,2024-01-01,20282.82,KES,MPESA,26291,Mobile payment member 26291,SUCCESS,SYSTEM,BR08,69.11
PS-3a7c055c87,2024-01-16,2024-02-28,2985.81,KES,MPESA,28486,Mobile payment member 28486,SUCCESS,SYSTEM,BR17,29.57
PS-438b0ee776,2024-03-19,2024-03-05,47526.96,KES,MPESA,29755,MPESA 29755,SUCCESS,BATCH,BR15,436.19
PS-cc8292b3dc,2024-03-22,2024-02-05,13329.98,KES,MPESA,27777,M-PESA PAY 27777,SUCCESS,SYSTEM,BR08,55.94
PS-cdf490dc5f,2024-02-10,2024-03-10,14643.54,KES,CASH,21269,Cash deposit acc 21269,SUCCESS,TELLER,BR05,56.38
PS-0acae8a18a,2024-02-12,2024-03-10,11090.67,KES,CASH,22503,CASH DEP 22503,SUCCESS,SYSTEM,BR02,40.53
PS-19b62bcc44,2024-03-30,2024-01-03,45289.5,KES,MPESA,26883,M-PESA PAY 26883,SUCCESS,SYSTEM,BR16,92.72
PS-edf21a67da,2024-02-23,2024-03-09,37797.02,KES,MPESA,25763,M-PESA PAY 25763,SUCCESS,BATCH,BR18,317.46
PS-1acc039cec,2024-01-04,2024-02-19,11361.37,KES,MPESA,23613,MPESA 23613,SUCCESS,BATCH,BR13,88.54
PS-23ccca12b4,2024-02-20,2024-03-16,49045.74,KES,CHEQUE,27657,Cheque dep member 27657,SUCCESS,BATCH,BR01,131.03
PS-3a5c9cda3b,2024-02-03,2024-02-18,43409.14,KES,CHEQUE,27022,CHQ DEP MBR 27022,SUCCESS,TELLER,BR15,200.32
PS-27d66af401,2024-02-02,2024-01-11,37724.49,KES,MPESA,26211,MPESA 26211,SUCCESS,TELLER,BR18,91.17
PS-ab19424336,2024-03-24,2024-01-06,32682.13,KES,CHEQUE,25733,Cheque deposit for member 25733,SUCCESS,TELLER,BR07,284.79
PS-505c6085e1,2024-03-13,2024-01-28,6747.94,KES,CHEQUE,22496,CHQ DEP MBR 22496,SUCCESS,BATCH,BR09,54.9
PS-9ca1e79742,2024-01-15,2024-01-21,30558.75,KES,CASH,22749,CASH DEP 22749,SUCCESS,TELLER,BR19,67.4
PS-aa9e24ca57,2024-02-20,2024-01-26,34028.69,KES,CASH,25111,Cash deposit acc 25111,FAILED,BATCH,BR08,95.8
PS-f461065bac,2024-03-13,2024-01-06,30220.37,KES,CASH,24941,CASH DEP 24941,SUCCESS,BATCH,BR14,220.37
PS-a34a325720,2024-02-23,2024-03-03,32553.39,KES,CASH,21129,Cash deposit acc 21129,SUCCESS,SYSTEM,BR12,230.63
PS-7bce56e29a,2024-03-07,2024-03-24,8073.06,KES,CASH,27532,CASH DEP 27532,SUCCESS,BATCH,BR18,66.18
PS-08e3b39bc5,2024-02-11,2024-02-01,41373.86,KES,MPESA,27616,Mobile payment member 27616,SUCCESS,SYSTEM,BR15,163.46
PS-f8b6c6bbac,2024-01-04,2024-03-04,30711.42,KES,CASH,27613,CASH DEP 27613,SUCCESS,TELLER,BR16,113.54
PS-5bf5cf3227,2024-02-05,2024-03-12,14343.1,KES,MPESA,24232,Mobile payment member 24232,SUCCESS,BATCH,BR07,38.51
PS-ab362eb77a,2024-03-01,2024-03-23,27981.22,KES,MPESA,26658,M-PESA PAY 26658,SUCCESS,SYSTEM,BR15,233.46
PS-4b00a3c5c0,2024-02-09,2024-03-25,11469.02,KES,MPESA,21524,M-PESA PAY 21524,SUCCESS,SYSTEM,BR16,73.72
PS-79ccb00fca,2024-02-15,2024-03-30,49833.26,KES,MPESA,25632,MPESA 25632,SUCCESS,SYSTEM,BR10,199.89
PS-3db60cf731,2024-03-09,2024-03-29,10032.92,KES,CASH,21976,Cash deposit acc 21976,SUCCESS,TELLER,BR07,79.35
PS-3ff1eabb41,2024-03-17,2024-02-06,29684.55,KES,CASH,24530,Cash deposit acc 24530,SUCCESS,TELLER,BR10,113.39
PS-50b55519f7,2024-02-05,2024-01-06,1200.34,KES,MPESA,22939,Mobile payment member 22939,SUCCESS,BATCH,BR10,9.1
PS-a722fb8152,2024-01-02,2024-03-14,43488.83,KES,CASH,22068,CASH DEP 22068,SUCCESS,SYSTEM,BR16,240.22
PS-30f546018a,2024-01-15,2024-01-09,12997.68,KES,CHEQUE,23020,CHQ DEP MBR 23020,SUCCESS,SYSTEM,BR03,85.99
PS-3f2154933e,2024-02-08,2024-01-11,7885.28,KES,CHEQUE,20878,Cheque deposit for member 20878,SUCCESS,TELLER,BR18,63.99
PS-e18f52c8bf,2024-03-07,2024-02-18,39641.67,KES,CASH,29933,CASH DEP 29933,SUCCESS,SYSTEM,BR10,352.07
PS-e263332d8f,2024-01-13,2024-01-27,28647.16,KES,MPESA,27025,M-PESA PAY 27025,SUCCESS,TELLER,BR09,208.65
PS-d56c279f31,2024-01-01,2024-02-22,9103.77,KES,CHEQUE,22573,CHQ DEP MBR 22573,SUCCESS,BATCH,BR20,52.43
PS-761a50a09d,2024-02-28,2024-01-10,14761.19,KES,CHEQUE,20534,Cheque dep member 20534,SUCCESS,TELLER,BR09,122.56
PS-fea5a34580,2024-01-15,2024-03-10,40293.33,KES,CASH,29663,Cash deposit acc 29663,SUCCESS,BATCH,BR05,373.41
PS-71d177c68e,2024-03-17,2024-03-13,3452.08,KES,CHEQUE,22330,CHQ DEP MBR 22330,SUCCESS,SYSTEM,BR04,19.85
PS-58662fe4cc,2024-03-10,2024-03-04,20424.17,KES,CASH,24982,CASH DEP 24982,SUCCESS,TELLER,BR20,47.36
PS-da6d5483a8,2024-01-12,2024-01-30,16454.92,KES,CASH,27078,Cash deposit acc 27078,SUCCESS,BATCH,BR09,108.77
PS-32619f6cc0,2024-02-05,2024-01-24,26188.71,KES,MPESA,22870,M-PESA PAY 22870,SUCCESS,SYSTEM,BR16,255.4
PS-ff48d49408,2024-01-14,2024-01-21,20713.23,KES,MPESA,27700,MPESA 27700,SUCCESS,SYSTEM,BR16,89.19
PS-eaee3f4570,2024-02-02,2024-02-11,2316.51,KES,CASH,26561,Cash deposit acc 26561,SUCCESS,SYSTEM,BR17,19.92
PS-eec54d040a,2024-01-07,2024-01-25,43533.69,KES,CASH,20018,CASH DEP 20018,SUCCESS,BATCH,BR16,304.88
PS-f69c51d46e,2024-02-06,2024-02-26,13719.28,KES,CHEQUE,20845,Cheque dep member 20845,SUCCESS,SYSTEM,BR04,30.61
PS-c3be7fe816,2024-01-02,2024-03-11,35634.25,KES,CHEQUE,29975,CHQ DEP MBR 29975,SUCCESS,TELLER,BR08,354.14
PS-e6ab600725,2024-01-20,2024-03-04,47379.51,KES,MPESA,21858,M-PESA PAY 21858,SUCCESS,SYSTEM,BR17,362.14
PS-23f622b858,2024-03-11,2024-01-19,49022.11,KES,MPESA,26807,MPESA 26807,SUCCESS,TELLER,BR20,297.36
PS-f6ffc3f635,2024-02-23,2024-02-13,14174.25,KES,CHEQUE,22236,Cheque dep member 22236,SUCCESS,SYSTEM,BR01,60.42
PS-541735e457,2024-01-20,2024-02-27,29206.21,KES,CASH,24891,CASH DEP 24891,SUCCESS,SYSTEM,BR11,187.37
PS-5ca9603d7a,2024-01-25,2024-03-30,23039.56,KES,MPESA,28903,Mobile payment member 28903,SUCCESS,BATCH,BR13,89.13
PS-4f527ae9c2,2024-02-18,2024-02-19,16249.73,KES,CHEQUE,26730,Cheque dep member 26730,SUCCESS,BATCH,BR05,96.89
PS-7984ad3e2f,2024-01-13,2024-02-26,25363.41,KES,CHEQUE,20606,Cheque deposit for member 20606,SUCCESS,BATCH,BR15,53.84
PS-1c4b4ae2fb,2024-01-10,2024-03-01,43611.18,KES,MPESA,22361,MPESA 22361,FAILED,SYSTEM,BR20,328.9
PS-934b523a7d,2024-02-18,2024-02-10,42690.9,KES,MPESA,21315,M-PESA PAY 21315,SUCCESS,BATCH,BR16,383.32
PS-5a6daf7a89,2024-02-06,2024-01-30,3886.83,KES,CASH,20588,Cash deposit acc 20588,SUCCESS,SYSTEM,BR04,31.42
PS-91eccf43d8,2024-01-04,2024-01-06,8735.06,KES,MPESA,21646,MPESA 21646,SUCCESS,TELLER,BR10,42.52
PS-9248bb282c,2024-03-28,2024-01-24,12587.77,KES,CHEQUE,27056,Cheque deposit for member 27056,SUCCESS,TELLER,BR03,86.55
PS-3c7a7ba028,2024-03-15,2024-01-19,34315.16,KES,CASH,26267,Cash deposit acc 26267,SUCCESS,SYSTEM,BR09,194.79
PS-8edfd53ffc,2024-01-21,2024-01-10,45109.87,KES,MPESA,20153,MPESA 20153,SUCCESS,SYSTEM,BR19,198.18
PS-d1421d7227,2024-01-26,2024-02-19,12879.86,KES,CASH,26951,CASH DEP 26951,SUCCESS,TELLER,BR08,65.06
PS-815fb85710,2024-01-03,2024-03-25,15145.68,KES,CASH,25881,CASH DEP 25881,SUCCESS,SYSTEM,BR01,98.86
PS-6c91215cad,2024-02-06,2024-01-30,37386.02,KES,CASH,20803,CASH DEP 20803,SUCCESS,TELLER,BR07,260.47
PS-535c69cc41,2024-01-06,2024-02-09,5309.61,KES,CASH,22240,CASH DEP 22240,SUCCESS,TELLER,BR19,26.12
PS-0648ea7680,2024-02-23,2024-01-23,45526.58,KES,CHEQUE,22153,Cheque deposit for member 22153,SUCCESS,TELLER,BR18,410.27
PS-5d6050d008,2024-01-22,2024-02-02,25338.84,KES,CASH,25994,CASH DEP 25994,SUCCESS,SYSTEM,BR11,213.7
PS-9f22b26088,2024-03-27,2024-03-27,7467.47,KES,CHEQUE,27673,CHQ DEP MBR 27673,FAILED,BATCH,BR12,20.33
PS-6fca5f61e5,2024-02-17,2024-03-27,13590.7,KES,CHEQUE,26464,Cheque dep member 26464,SUCCESS,BATCH,BR09,90.74
PS-2a69b488d4,2024-03-20,2024-03-12,33904.41,KES,CHEQUE,26086,CHQ DEP MBR 26086,SUCCESS,BATCH,BR08,243.47
PS-7441b2fe78,2024-01-18,2024-01-06,15458.41,KES,CASH,27606,Cash deposit acc 27606,SUCCESS,SYSTEM,BR16,45.28
PS-cb7d5a47f3,2024-03-26,2024-03-30,7215.37,KES,CASH,23846,CASH DEP 23846,SUCCESS,BATCH,BR05,65.54
PS-2cab4d4906,2024-02-05,2024-01-05,30974.78,KES,MPESA,21622,M-PESA PAY 21622,FAILED,SYSTEM,BR07,171.82
PS-7e870eff7c,2024-03-10,2024-03-23,5418.05,KES,MPESA,23868,MPESA 23868,SUCCESS,TELLER,BR13,22.79
PS-da9c229ced,2024-03-22,2024-03-17,5037.83,KES,MPESA,22001,Mobile payment member 22001,SUCCESS,TELLER,BR11,19.89
PS-7647484c5f,2024-03-11,2024-01-27,10657.68,KES,CASH,22063,Cash deposit acc 22063,SUCCESS,TELLER,BR11,87.34
PS-fc2e39e1b8,2024-01-17,2024-03-10,14225.1,KES,CHEQUE,29764,CHQ DEP MBR 29764,FAILED,TELLER,BR04,103.68
PS-5b4dabbd4b,2024-01-31,2024-03-16,1235.59,KES,CHEQUE,20422,CHQ DEP MBR 20422,SUCCESS,TELLER,BR06,5.09
PS-307b4b316f,2024-01-09,2024-03-01,21337.55,KES,CASH,22076,CASH DEP 22076,SUCCESS,SYSTEM,BR17,144.01
PS-93c7a008d5,2024-03-25,2024-03-07,11466.71,KES,CASH,27405,CASH DEP 27405,SUCCESS,SYSTEM,BR01,28.51
PS-5447efad63,2024-02-26,2024-01-10,21600.54,KES,MPESA,27847,Mobile payment member 27847,SUCCESS,SYSTEM,BR20,68.83
PS-aebcbae87e,2024-02-11,2024-02-18,31403.72,KES,MPESA,22067,M-PESA PAY 22067,SUCCESS,BATCH,BR10,176.79
PS-3e3a5acf75,2024-03-24,2024-03-24,5409.33,KES,MPESA,29919,M-PESA PAY 29919,SUCCESS,BATCH,BR07,29.43
PS-41eb3411b6,2024-02-23,2024-01-13,17277.12,KES,MPESA,23743,MPESA 23743,SUCCESS,SYSTEM,BR11,126.48
PS-b448775f51,2024-01-12,2024-01-11,34497.64,KES,CHEQUE,26132,Cheque deposit for member 26132,SUCCESS,SYSTEM,BR04,274.49
PS-2ff68f2ece,2024-03-12,2024-03-12,28040.35,KES,CHEQUE,26105,CHQ DEP MBR 26105,SUCCESS,BATCH,BR04,148.23
PS-566c46e9c5,2024-02-09,2024-02-15,3046.58,KES,CASH,26929,Cash deposit acc 26929,SUCCESS,BATCH,BR17,11.28
PS-5b3317fd13,2024-03-12,2024-02-17,42440.1,KES,CHEQUE,27900,Cheque deposit for member 27900,SUCCESS,SYSTEM,BR19,161.67
PS-0dbf8deb14,2024-03-19,2024-03-27,48740.06,KES,CASH,27030,Cash deposit acc 27030,SUCCESS,BATCH,BR09,108.77
PS-848767c547,2024-02-14,2024-01-01,38239.27,KES,CASH,24477,Cash deposit acc 24477,FAILED,TELLER,BR19,277.57
PS-e59327908f,2024-01-12,2024-03-08,37177.97,KES,CHEQUE,21140,Cheque deposit for member 21140,FAILED,SYSTEM,BR14,209.28
PS-aa288bc378,2024-03-13,2024-03-17,15926.05,KES,MPESA,22578,Mobile payment member 22578,SUCCESS,TELLER,BR05,51.91
PS-2189a1690e,2024-02-24,2024-03-03,4538.29,KES,CASH,20815,CASH DEP 20815,SUCCESS,SYSTEM,BR09,16.9
PS-e417d39889,2024-03-27,2024-03-27,17586.06,KES,CHEQUE,28394,Cheque dep member 28394,SUCCESS,SYSTEM,BR17,129.03
PS-2b561855cc,2024-01-01,2024-01-27,20065.54,KES,CHEQUE,20744,CHQ DEP MBR 20744,SUCCESS,TELLER,BR05,162.8
PS-5bb2ce5d3a,2024-02-25,2024-01-23,6439.23,KES,MPESA,24742,Mobile payment member 24742,SUCCESS,SYSTEM,BR18,49.13
PS-2ca537fd96,2024-01-10,2024-02-20,41751.03,KES,CASH,28196,Cash deposit acc 28196,SUCCESS,SYSTEM,BR01,237.06
PS-6b9a9c3544,2024-03-31,2024-03-22,29000.08,KES,MPESA,21275,MPESA 21275,SUCCESS,SYSTEM,BR04,151.97
PS-7b1e0d6b56,2024-03-29,2024-02-16,40165.45,KES,CHEQUE,25321,Cheque deposit for member 25321,SUCCESS,SYSTEM,BR04,158.51
PS-3304af7127,2024-02-09,2024-02-13,26436.15,KES,MPESA,29648,Mobile payment member 29648,SUCCESS,SYSTEM,BR06,69.03
PS-c02f73a073,2024-02-14,2024-02-14,25742.63,KES,CASH,21868,Cash deposit acc 21868,FAILED,TELLER,BR04,81.64
PS-a9eb4b4e93,2024-03-24,2024-01-10,30318.75,KES,CHEQUE,23232,Cheque deposit for member 23232,SUCCESS,BATCH,BR16,173.17
PS-eac298f035,2024-03-13,2024-03-23,22720.81,KES,CASH,29236,CASH DEP 29236,FAILED,BATCH,BR11,72.88
PS-9a0b9df650,2024-02-05,2024-03-16,22389.3,KES,MPESA,21118,Mobile payment member 21118,SUCCESS,SYSTEM,BR17,58.07
PS-ff5b97e7b4,2024-02-06,2024-01-10,2361.56,KES,MPESA,27565,M-PESA PAY 27565,SUCCESS,TELLER,BR20,15.95
PS-421f87230c,2024-01-06,2024-02-27,29226.31,KES,MPESA,26299,M-PESA PAY 26299,FAILED,BATCH,BR07,133.63
PS-6c730d6a2f,2024-01-14,2024-02-13,7967.62,KES,CASH,27792,Cash deposit acc 27792,SUCCESS,BATCH,BR06,18.43
PS-4819b31fd1,2024-02-16,2024-02-17,26441.39,KES,MPESA,27172,MPESA 27172,SUCCESS,SYSTEM,BR14,216.71
PS-e4d4c452b3,2024-01-09,2024-02-12,39566.73,KES,CHEQUE,29795,Cheque deposit for member 29795,SUCCESS,BATCH,BR13,169.08
PS-617d016f0d,2024-01-19,2024-02-14,17001.42,KES,CHEQUE,29874,CHQ DEP MBR 29874,SUCCESS,BATCH,BR13,51.54
PS-dcd4de50d1,2024-02-12,2024-01-17,28166.64,KES,MPESA,21388,M-PESA PAY 21388,SUCCESS,BATCH,BR17,77.39
PS-4b9ecade54,2024-01-24,2024-01-28,18410.49,KES,CASH,26937,CASH DEP 26937,SUCCESS,SYSTEM,BR07,70.19
PS-b7a1237525,2024-01-13,2024-03-05,4319.67,KES,CHEQUE,22253,Cheque dep member 22253,SUCCESS,BATCH,BR17,9.94
PS-d021ebffa2,2024-01-21,2024-01-24,6986.93,KES,CASH,25517,Cash deposit acc 25517,SUCCESS,BATCH,BR15,16.42
PS-c2db5bc915,2024-03-19,2024-02-06,36119.49,KES,CASH,25968,CASH DEP 25968,FAILED,TELLER,BR18,141.35
PS-1469f8e122,2024-02-26,2024-02-29,18708.13,KES,CHEQUE,27684,CHQ DEP MBR 27684,FAILED,SYSTEM,BR17,116.36
PS-f9be1de91d,2024-02-02,2024-01-07,40162.33,KES,CHEQUE,22655,Cheque dep member 22655,SUCCESS,SYSTEM,BR12,258.5
PS-23a413509e,2024-02-06,2024-01-11,42371.67,KES,CASH,21680,Cash deposit acc 21680,SUCCESS,SYSTEM,BR15,391.62
PS-f3db700683,2024-02-27,2024-02-14,5039.82,KES,MPESA,22414,Mobile payment member 22414,FAILED,SYSTEM,BR02,26.06
PS-25362a92fb,2024-01-29,2024-01-04,19615.22,KES,CHEQUE,26126,CHQ DEP MBR 26126,SUCCESS,TELLER,BR11,163.42
PS-334890a52b,2024-03-30,2024-01-18,14700.53,KES,CHEQUE,22254,Cheque dep member 22254,SUCCESS,SYSTEM,BR15,101.77
PS-7d0c4b156f,2024-03-11,2024-03-18,13168.23,KES,CHEQUE,21298,Cheque dep member 21298,SUCCESS,SYSTEM,BR04,108.1
PS-f4be745eeb,2024-03-22,2024-03-20,6531.49,KES,MPESA,23893,MPESA 23893,SUCCESS,TELLER,BR04,56.78
PS-71aa8c1409,2024-03-14,2024-01-31,27034.66,KES,CASH,28189,Cash deposit acc 28189,SUCCESS,SYSTEM,BR14,54.41
PS-ce0f832bdb,2024-03-26,2024-01-11,28747.85,KES,CHEQUE,25780,Cheque dep member 25780,SUCCESS,SYSTEM,BR03,276.76
PS-e6407c1ca8,2024-01-03,2024-02-19,39427.41,KES,CASH,28914,CASH DEP 28914,SUCCESS,TELLER,BR13,388.29
PS-58b5dfb91f,2024-02-14,2024-01-31,1303.99,KES,CASH,24155,Cash deposit acc 24155,SUCCESS,BATCH,BR11,4.0
PS-7b4130149d,2024-03-28,2024-02-29,17258.09,KES,CASH,25772,CASH DEP 25772,SUCCESS,BATCH,BR06,146.56
PS-39e512ad58,2024-02-07,2024-01-26,38921.42,KES,CASH,21033,Cash deposit acc 21033,SUCCESS,TELLER,BR02,176.11
PS-2f5f4acade,2024-03-01,2024-02-02,20212.09,KES,CASH,25080,Cash deposit acc 25080,SUCCESS,BATCH,BR07,86.69
PS-cbc95491d7,2024-02-17,2024-02-25,16930.27,KES,CASH,20783,CASH DEP 20783,SUCCESS,BATCH,BR15,155.03
PS-854fc469d5,2024-03-04,2024-02-17,48699.32,KES,MPESA,26334,M-PESA PAY 26334,SUCCESS,SYSTEM,BR03,380.67
PS-a4c8a49b57,2024-03-10,2024-02-07,30321.44,KES,MPESA,21293,MPESA 21293,SUCCESS,TELLER,BR03,140.19
PS-dbbd84a4e8,2024-01-22,2024-03-29,22572.83,KES,MPESA,24843,MPESA 24843,SUCCESS,SYSTEM,BR15,52.79
PS-d81e1ca1d6,2024-01-08,2024-01-10,49908.45,KES,CASH,25776,CASH DEP 25776,SUCCESS,SYSTEM,BR17,419.67
PS-517f80abe5,2024-02-26,2024-01-05,7567.58,KES,CHEQUE,22621,Cheque deposit for member 22621,SUCCESS,TELLER,BR08,62.27
PS-1a5d135c14,2024-03-18,2024-01-20,19451.29,KES,MPESA,26001,M-PESA PAY 26001,SUCCESS,SYSTEM,BR12,96.79
PS-2190b7199a,2024-02-10,2024-03-24,7315.91,KES,CASH,21259,CASH DEP 21259,SUCCESS,TELLER,BR04,16.15
PS-2c2ae3d043,2024-01-16,2024-02-03,26128.39,KES,MPESA,23048,MPESA 23048,FAILED,BATCH,BR15,97.11
PS-c73541fc65,2024-01-16,2024-01-18,45865.71,KES,CASH,24678,Cash deposit acc 24678,SUCCESS,SYSTEM,BR06,421.48
PS-26446dfb78,2024-02-10,2024-03-26,40620.4,KES,CHEQUE,27292,CHQ DEP MBR 27292,FAILED,BATCH,BR03,259.97
